"route_id","service_id","trip_id","trip_headsign","block_id","direction_id","shape_id"
"81","14905100","770644","81 LCC < > 81 via HILYARD","7043","0","27620"
"81","14905100","770645","81 EUGENE STATION <> via UO","7043","1","27573"
"81","14905300","768070","81 LCC < > 81 via HILYARD","14","0","27620"
"81","14905300","768071","81 EUGENE STATION <> via UO","14","1","27573"
"81","14905300","768100","81 LCC < > 81 via HILYARD","15","0","27620"
"81","14905300","768101","81 EUGENE STATION <> via UO","15","1","27573"
"81","14905300","768156","81 LCC < > 81 via HILYARD","18","0","27620"
"81","14905300","768157","81 EUGENE STATION <> via UO","18","1","27573"
"81","14905300","768356","81 LCC < > 81 via HILYARD","22","0","27620"
"81","14905300","768357","81 EUGENE STATION <> via UO","22","1","27573"
"81","14905300","768388","81 LCC < > 81 via HILYARD","23","0","27620"
"81","14905300","768389","81 EUGENE STATION <> via UO","23","1","27573"
"81","14905300","768564","81 LCC < > 81 via HILYARD","31","0","27620"
"81","14905300","768565","81 EUGENE STATION <> via UO","31","1","27573"
"81","14905300","768633","81 LCC < > 81 via HILYARD","36","0","27620"
"81","14905300","768634","81 EUGENE STATION <> via UO","36","1","27573"
"81","14905300","768659","81 LCC < > 81 via HILYARD","38","0","27620"
"81","14905300","768660","81 EUGENE STATION <> via UO","38","1","27573"
"81","14905300","769609","81 LCC < > 81 via HILYARD","47","0","27620"
"81","14905300","769610","81 EUGENE STATION <> via UO","47","1","27573"
"81","14905300","769640","81 LCC < > 81 via HILYARD","5","0","27620"
"81","14905300","769641","81 EUGENE STATION <> via UO","5","1","27573"
"81","14905300","769822","81 LCC < > 81 via HILYARD","6","0","27620"
"81","14905300","769823","81 EUGENE STATION <> via UO","6","1","27573"
"81","14905300","769860","81 LCC < > 81 via HILYARD","62","0","27620"
"81","14905300","769861","81 EUGENE STATION <> via UO","62","1","27573"
"81","14905300","769900","81 LCC < > 81 via HILYARD","65","0","27620"
"81","14905300","769901","81 EUGENE STATION <> via UO","65","1","27573"
"81","14905300","769947","81 LCC < > 81 via HILYARD","68","0","27620"
"81","14905300","769948","81 EUGENE STATION <> via UO","68","1","27573"
"81","14905300","770965","81 LCC < > 81 via HILYARD","81","0","27620"
"81","14905300","770966","81 EUGENE STATION <> via UO","81","1","27573"
"82","14905300","767454","82 LCC","1","0","27621"
"82","14905300","767455","82 EUGENE STATION","1","1","27574"
"82","14905300","768012","82 LCC","13","0","27621"
"82","14905300","768013","82 EUGENE STATION","13","1","27574"
"82","14905300","768338","82 LCC","22","0","27621"
"82","14905300","768339","82 EUGENE STATION","22","1","27574"
"82","14905300","768342","82 LCC","22","0","27621"
"82","14905300","768343","82 EUGENE STATION","22","1","27574"
"82","14905300","768440","82 LCC","25","0","27621"
"82","14905300","768441","82 EUGENE STATION","25","1","27574"
"82","14905300","768446","82 LCC","25","0","27621"
"82","14905300","768447","82 EUGENE STATION","25","1","27574"
"82","14905300","768454","82 LCC","25","0","27621"
"82","14905300","768455","82 EUGENE STATION","25","1","27574"
"82","14905300","768469","82 LCC","26","0","27621"
"82","14905300","768470","82 EUGENE STATION","26","1","27574"
"82","14905300","768494","82 LCC","28","0","27621"
"82","14905300","768495","82 EUGENE STATION","28","1","27574"
"82","14905300","768530","82 LCC","3","0","27621"
"82","14905300","768531","82 EUGENE STATION","3","1","27574"
"82","14905300","768534","82 LCC","3","0","27621"
"82","14905300","768535","82 EUGENE STATION","3","1","27574"
"82","14905300","768556","82 LCC","30","0","27621"
"82","14905300","768557","82 EUGENE STATION","30","1","27574"
"82","14905300","768615","82 LCC","34","0","27621"
"82","14905300","768616","82 EUGENE STATION","34","1","27574"
"82","14905300","768651","82 LCC","37","0","27621"
"82","14905300","768652","82 EUGENE STATION","37","1","27574"
"82","14905300","768661","82 LCC","38","0","27621"
"82","14905300","768662","82 EUGENE STATION","38","1","27574"
"82","14905300","768674","82 LCC","39","0","27621"
"82","14905300","768675","82 EUGENE STATION","39","1","27574"
"82","14905300","768714","82 LCC","40","0","27621"
"82","14905300","768715","82 EUGENE STATION","40","1","27574"
"82","14905300","769591","82 LCC","46","0","27621"
"82","14905300","769592","82 EUGENE STATION","46","1","27574"
"82","14905300","769595","82 LCC","46","0","27621"
"82","14905300","769596","82 EUGENE STATION","46","1","27574"
"82","14905300","769621","82 LCC","49","0","27621"
"82","14905300","769622","82 EUGENE STATION","49","1","27574"
"82","14905300","769656","82 LCC","50","0","27621"
"82","14905300","769657","82 EUGENE STATION","50","1","27574"
"82","14905300","769682","82 LCC","52","0","27621"
"82","14905300","769683","82 EUGENE STATION","52","1","27574"
"82","14905300","769684","82 LCC","52","0","27621"
"82","14905300","769685","82 EUGENE STATION","52","1","27574"
"82","14905300","769728","82 LCC","54","0","27621"
"82","14905300","769729","82 EUGENE STATION","54","1","27574"
"82","14905300","769734","82 LCC","54","0","27621"
"82","14905300","769735","82 EUGENE STATION","54","1","27574"
"82","14905300","769795","82 LCC","58","0","27621"
"82","14905300","769796","82 EUGENE STATION","58","1","27574"
"82","14905300","769852","82 LCC","61","0","27621"
"82","14905300","769853","82 EUGENE STATION","61","1","27574"
"82","14905300","769886","82 LCC","64","0","27621"
"82","14905300","769887","82 EUGENE STATION","64","1","27574"
"82","14905300","770931","82 LCC","8","0","27621"
"82","14905300","770932","82 EUGENE STATION","8","1","27574"
"82","14905300","770970","82 LCC","82","0","27621"
"82","14905300","770971","82 EUGENE STATION","82","1","27574"
"85","14905300","768603","85 LCC","33","0","27622"
"85","14905300","768604","85 SPFLD STATION","33","1","27575"
"85","14905300","768694","85 LCC","40","0","27622"
"85","14905300","768695","85 SPFLD STATION","40","1","27575"
"85","14905300","768741","85 LCC","41","0","27622"
"85","14905300","768742","85 SPFLD STATION","41","1","27575"
"85","14905300","768779","85 LCC","42","0","27622"
"85","14905300","768780","85 SPFLD STATION","42","1","27575"
"85","14905300","768789","85 LCC","42","0","27622"
"85","14905300","768790","85 SPFLD STATION","42","1","27575"
"85","14905300","768793","85 LCC","42","0","27622"
"85","14905300","768794","85 SPFLD STATION","42","1","27575"
"85","14905300","768803","85 LCC","43","0","27622"
"85","14905300","768804","85 SPFLD STATION","43","1","27575"
"85","14905300","768855","85 LCC","44","0","27622"
"85","14905300","768856","85 SPFLD STATION","44","1","27575"
"85","14905300","769762","85 LCC","56","0","27622"
"85","14905300","769763","85 SPFLD STATION","56","1","27575"
"85","14905300","770713","85 LCC","73","0","27622"
"85","14905300","770714","85 SPFLD STATION","73","1","27575"
"91","14905100","770173","91 McKenzie Br","7011","0","27624"
"91","14905100","770174","91 EUGENE STATION <> 91 via I-105","7011","1","27577"
"91","14905100","770605","91 McKenzie Br","7039","0","27623"
"91","14905100","770606","91 EUGENE STATION <> 91 via I-105","7039","1","27576"
"91","14905200","767647","91 McKenzie Br","1011","0","27624"
"91","14905200","767648","91 EUGENE STATION <> 91 via I-105","1011","1","27577"
"91","14905200","767881","91 McKenzie Br","1026","0","27623"
"91","14905200","767882","91 EUGENE STATION <> 91 via I-105","1026","1","27576"
"91","14905300","768288","91 McKenzie Br","2","0","27624"
"91","14905300","768289","91 EUGENE STATION <> 91 via I-105","2","1","27577"
"91","14905300","768318","91 McKenzie Br","21","0","27624"
"91","14905300","768319","91 EUGENE STATION <> 91 via I-105","21","1","27577"
"91","14905300","769674","91 McKenzie Br","51","0","27623"
"91","14905300","769675","91 EUGENE STATION <> 91 via I-105","51","1","27576"
"91","14905300","769801","91 McKenzie Br","58","0","27623"
"91","14905300","769802","91 EUGENE STATION <> 91 via I-105","58","1","27576"
"92","14905100","769983","92 EUGENE STATION","7001","1","27578"
"92","14905100","769994","92 LOWELL/LCC","7002","0","27625"
"92","14905100","769995","92 EUGENE STATION","7002","1","27578"
"92","14905100","770618","92 LOWELL/LCC","7041","0","27626"
"92","14905100","770619","92 EUGENE STATION","7041","1","27579"
"92","14905300","768491","92 EUGENE STATION","28","1","27578"
"92","14905300","768512","92 LOWELL/LCC","29","0","27625"
"92","14905300","768513","92 EUGENE STATION","29","1","27578"
"92","14905300","770760","92 LOWELL/LCC","77","0","27626"
"92","14905300","770761","92 EUGENE STATION","77","1","27579"
"93","14905100","770066","93 WEST 11TH and COMMERCE","7005","0","27627"
"93","14905100","770067","93 EUGENE STATION","7005","1","27580"
"93","14905100","770344","93 WEST 11TH and COMMERCE","7019","0","27627"
"93","14905100","770345","93 EUGENE STATION","7019","1","27580"
"93","14905100","770350","93 WEST 11TH and COMMERCE","7021","0","27627"
"93","14905100","770351","93 EUGENE STATION","7021","1","27580"
"93","14905200","767787","93 WEST 11TH and COMMERCE","1019","0","27627"
"93","14905200","767788","93 EUGENE STATION","1019","1","27580"
"93","14905200","767983","93 WEST 11TH and COMMERCE","1037","0","27627"
"93","14905200","767984","93 EUGENE STATION","1037","1","27580"
"93","14905304","768170","93 WEST 11TH and COMMERCE","19","0","27627"
"93","14905304","768175","93 EUGENE STATION","19","1","27580"
"93","14905304","768463","93 WEST 11TH and COMMERCE","26","0","27627"
"93","14905304","768468","93 EUGENE STATION","26","1","27580"
"93","14905304","769668","93 WEST 11TH and COMMERCE","51","0","27627"
"93","14905304","769673","93 EUGENE STATION","51","1","27580"
"93","14905304","770957","93 WEST 11TH and COMMERCE","81","0","27627"
"93","14905304","770962","93 EUGENE STATION","81","1","27580"
"93","14905305","768171","93 WEST 11TH and COMMERCE","19","0","27627"
"93","14905305","768174","93 EUGENE STATION","19","1","27580"
"93","14905305","768465","93 WEST 11TH and COMMERCE","26","0","27627"
"93","14905305","768466","93 EUGENE STATION","26","1","27580"
